ostwest,lfdn,leaning_party,gender,age,kp21_840s,first_most_imp,completion_prompt,3rd_person_prompt,completion_answer
East,33019,AfD,male,66,Umverteilung,Umverteilung,"    I am 66 years old and male. Ideologically, I mostly support AfD. I live in East Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 66 years old and male. Ideologically, S/he mostly supports AfD.  S/he lives in East Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","How to integrate the millions of immigrants who are coming here.
I have no doubt that there will be more and more in the future,and they come from all over the world,but mostly from Muslim countries like Turkey or Moroc{}"
West,16816,SPD,male,45,Klimawandel,Klimawandel,"    I am 45 years old and male. Ideologically, I mostly support SPD. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 45 years old and male. Ideologically, S/he mostly supports SPD.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The German National Identity.
And the most important question that needs to be answered is:
What does it mean to be a German?
In my opinion,the answer can only come from the Germans themselves and not from foreigners like{}"
East,39935,CDU/CSU,male,61,Corona,Corona,"    I am 61 years old and male. Ideologically, I mostly support CDU/CSU. I live in East Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 61 years old and male. Ideologically, S/he mostly supports CDU/CSU.  S/he lives in East Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","How to keep the Euro?
Because,as you can see in this thread:
Germany : The most important problem facing Germany today is:
https://www.german-way.com/forums/topic/{}"
West,16117,no party,female,55,Pandemie,Pandemie,"    I am 55 years old and female. Ideologically, I mostly support no party. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 55 years old and female. Ideologically, S/he mostly supports no party.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","Arabs and Muslims.
The reason for this is that the Arabs have been a problem in Germany since the 1960's,when they arrived as ""guestworkers"" from Turkey and North Africa to{}"
West,10168,no party,female,44,Wirtschaft,Wirtschaft,"    I am 44 years old and female. Ideologically, I mostly support no party. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 44 years old and female. Ideologically, S/he mostly supports no party.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","how to promote the economic and social development of rural areas,and in order to do this,we need to improve the infrastructure.
I think that is a very good question because it's not easy for me to answer.
Some people{}"
West,34335,SPD,female,46,Die Bekï¿½ï¿½mpfung des Klimawan,Die Bekï¿½ï¿½mpfung des Klimawan,"    I am 46 years old and female. Ideologically, I mostly support SPD. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 46 years old and female. Ideologically, S/he mostly supports SPD.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","A)The lack of language skills among the German youth.
B)The rise in crime and violence,especially in big cities like Berlin or Hamburg.
C)The increasing number of unemployed people.
D)The{}"
East,860,FDP,male,66,Pandemie bekï¿½ï¿½m,Pandemie bekï¿½ï¿½m,"    I am 66 years old and male. Ideologically, I mostly support FDP. I live in East Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 66 years old and male. Ideologically, S/he mostly supports FDP.  S/he lives in East Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The complete lack of any long term strategy.
Thats why Merkel is so popular,she lacks a vision and that makes her look like the only sane person in this country.
I don't think Germany has ever had{}"
East,37090,no party,female,62,Corona,Corona,"    I am 62 years old and female. Ideologically, I mostly support no party. I live in East Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 62 years old and female. Ideologically, S/he mostly supports no party.  S/he lives in East Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The German government is not doing enough to help the unemployed.
I have been in Germany for almost 17 years now,and Iï¿½ï¿½ï¿½ve never seen any government do so little for its citizens as the current one d"
West,37741,DIE LINKE,male,43,corono pandemie,corono pandemie,"    I am 43 years old and male. Ideologically, I mostly support DIE LINKE. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 43 years old and male. Ideologically, S/he mostly supports DIE LINKE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The problem of the Germans.
Germany is a very good country,and one that has always been at the forefront in terms of technology and innovation.But Germany also has some problems:
-The Germans are not{}"
West,39474,DIE LINKE,male,28,Einkommensunterschiede ,Einkommensunterschiede ,"    I am 28 years old and male. Ideologically, I mostly support DIE LINKE. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 28 years old and male. Ideologically, S/he mostly supports DIE LINKE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","Germany is not a nation, but an ""Empire"" - and it's the worst Empire ever.
The German Reich was founded on the ruins of the Roman Empire (which was also an empire),and nowad{}"
West,18557,SPD,male,47,Corona,Corona,"    I am 47 years old and male. Ideologically, I mostly support SPD. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 47 years old and male. Ideologically, S/he mostly supports SPD.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","How to get rid of this man:
German government and the German people have a lot of problems,but they donï¿½ï¿½ï¿½t seem to be able to unite against their biggest problem.
Angela Merkel has been in power"
West,33785,FDP,male,38,Corona,Corona,"    I am 38 years old and male. Ideologically, I mostly support FDP. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 38 years old and male. Ideologically, S/he mostly supports FDP.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","the nation's lack of a 'soul'.
A soul is defined as ""the spiritual or emotional aspect of a person"".
The German nation has been deprived of this for many years.
And I believe that if{}"
West,32030,FDP,male,44,Die durch die Coronapandemie hervorgerufene aggressive Politikverdrossenheit,Die durch die Coronapandemie hervorgerufene aggressive Politikverdrossenheit,"    I am 44 years old and male. Ideologically, I mostly support FDP. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 44 years old and male. Ideologically, S/he mostly supports FDP.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","How to deal with the European Union?
Germany's political elites are not able to formulate a coherent and unified policy towards Europe. In this respect, they lack clear ideas about what Germany wants from the EU{}"
East,39330,other party,female,63,"Das Beenden dieses unsï¿½ï¿½glichen Corona-Theaters, das fï¿½ï¿½r jeden Menschen mit einem halbwegs gesunden Menschenverstand eine Zumut",Das Beenden dieses unsï¿½ï¿½glichen Corona-Thea,"    I am 63 years old and female. Ideologically, I mostly support other party. I live in East Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 63 years old and female. Ideologically, S/he mostly supports other party.  S/he lives in East Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ",How do we get rid of the Muslims?{}
West,28096,AfD,male,54,migration,migration,"    I am 54 years old and male. Ideologically, I mostly support AfD. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 54 years old and male. Ideologically, S/he mostly supports AfD.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","How to make a better and more efficient use of the great wealth which is in Germany. This has been my main concern during all these years,and it is my only interest at this moment.
The greatest treasure of Germany today is its{}"
West,29979,no party,female,66,Corona,Corona,"    I am 66 years old and female. Ideologically, I mostly support no party. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 66 years old and female. Ideologically, S/he mostly supports no party.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The German people have lost their identity.
They are not Germans anymore,they are just a mixture of every race on earth and they don't even know it!
I am not saying that there are no more real Germans left{}"
West,15239,FDP,female,56,corona,corona,"    I am 56 years old and female. Ideologically, I mostly support FDP. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 56 years old and female. Ideologically, S/he mostly supports FDP.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","What will happen to the German economy if it loses its export market?
In other words,what happens when Germany's customers have no money left and can not buy anymore.
I think that this is a very important question,because{}"
West,40582,FDP,male,40,Covid-N19,Covid-N19,"    I am 40 years old and male. Ideologically, I mostly support FDP. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 40 years old and male. Ideologically, S/he mostly supports FDP.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","What can we do to prevent the inflow of cheap labor from Turkey and other countries?
Because if you don't have money,you cannot live.
I think that Germany is a very rich country with a lot of opportunities{}"
West,32602,GRï¿½ï,male,19,Klimawandel,Klimawandel,"    I am 19 years old and male. Ideologically, I mostly support GRï¿½ï¿½NE. I live in West Germany. And in my opinion,the most important problem facing Germany today is ","    This person is 19 years old and male. Ideologically, S/he mostly supports GRï¿½ï¿½NE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021? ","The German government is NOT acting fast enough to reduce the huge debt burden of the country,which has been growing since 2019.This situation could lead to a fiscal crisis in Germany and cause serious problems for other countries{}"
West,30255,other party,female,31,Impfen,Impfen,"    I am 31 years old and female. Ideologically, I mostly support other party. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 31 years old and female. Ideologically, S/he mostly supports other party.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","Is it still possible to live in Germany? Or is it no longer possible,as it was 10 years ago?
I think that the answer will be given by our children.
If they can live here or not.
And{}"
East,36710,DIE LINKE,female,63,Rechtsruck in der Gesellschaft,Rechtsruck in der Gesellschaft,"    I am 63 years old and female. Ideologically, I mostly support DIE LINKE. I live in East Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 63 years old and female. Ideologically, S/he mostly supports DIE LINKE.  S/he lives in East Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The lack of a stable and reliable government.
And in my opinion,in a few words,the most important problem facing Germany today is: The lack of a stable and reliable government.{}"
West,14814,GRï¿½ï,male,63,Der Abstand zwischen Politikern und Bï¿½ï¿½r,Der Abstand zwischen Politikern und Bï¿½ï¿½r,"    I am 63 years old and male. Ideologically, I mostly support GRï¿½ï¿½NE. I live in West Germany. And in my opinion,the most important problem facing Germany today is ","    This person is 63 years old and male. Ideologically, S/he mostly supports GRï¿½ï¿½NE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021? ","The German government has lost its way.It is no longer able to make the right decisions for Germany.
Germany's problems are many,and they all stem from one source:the fact that the Federal Republic of Germany is{}"
West,32212,GRï¿½ï,female,23,Klima,Klima,"    I am 23 years old and female. Ideologically, I mostly support GRï¿½ï¿½NE. I live in West Germany. And in my opinion,the most important problem facing Germany today is ","    This person is 23 years old and female. Ideologically, S/he mostly supports GRï¿½ï¿½NE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021? ","The end of the ï¿½ï¿½ï¿½economic miracleï¿½ï¿½ï¿½!
And I say this because Germany is in a very difficult economic situation.It has been for many years and it continues to be so despite all the efforts made by the German gov"
West,22161,GRï¿½ï,male,66,Soziales Ungleichgewicht,Soziales Ungleichgewicht,"    I am 66 years old and male. Ideologically, I mostly support GRï¿½ï¿½NE. I live in West Germany. And in my opinion,the most important problem facing Germany today is ","    This person is 66 years old and male. Ideologically, S/he mostly supports GRï¿½ï¿½NE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021? ","the lack of political will to take a firm stand against the EU-dictatorship,and its attempt to create a European Empire.
I know many people who feel exactly as I do about this issue,but unfortunately most Germans are still{}"
West,36811,DIE LINKE,male,61,Corona Pandemie,Corona Pandemie,"    I am 61 years old and male. Ideologically, I mostly support DIE LINKE. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 61 years old and male. Ideologically, S/he mostly supports DIE LINKE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The German people are not aware of the fact that they are a nation.
When I say ""German"",I mean the people living in Germany,their culture and their history.
It's very important to be proud of your{}"
West,34845,CDU/CSU,female,53,Pandemie,Pandemie,"    I am 53 years old and female. Ideologically, I mostly support CDU/CSU. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 53 years old and female. Ideologically, S/he mostly supports CDU/CSU.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The lack of a coherent and effective foreign policy.
And in my opinion,in a few words,the most important problem facing Germany today is: The lack of a coherent and effective foreign policy.
I think that'{}"
West,30671,"not asked, terminated",female,47,Rente,Rente,"    I am 47 years old and female. Ideologically, I mostly support not asked, terminated. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 47 years old and female. Ideologically, S/he mostly supports not asked, terminated.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The German government has created a huge crisis in Europe,a crisis that will have repercussions for years to come. And the only way out of it is to get rid of Angela Merkel and her madness!
But I{}"
West,27816,DIE LINKE,female,62,corona,corona,"    I am 62 years old and female. Ideologically, I mostly support DIE LINKE. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 62 years old and female. Ideologically, S/he mostly supports DIE LINKE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The greatest threat to the German people is:
- The growing number of Muslim migrants and the problems this causes, both for Germany as a nation and for its citizens. I do not believe that Islam can be integrated into European culture. It{}"
West,15057,no party,female,66,zu viel Einwanderer,zu viel Einwanderer,"    I am 66 years old and female. Ideologically, I mostly support no party. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 66 years old and female. Ideologically, S/he mostly supports no party.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","What is the best way to deal with the unemployed?
In my opinion,the most important problem facing Germany today is: What is the best way to deal with the unemployed?
I believe that this question can{}"
West,15190,CDU/CSU,male,56,pandemie,pandemie,"    I am 56 years old and male. Ideologically, I mostly support CDU/CSU. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 56 years old and male. Ideologically, S/he mostly supports CDU/CSU.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The perception of the German people that they are superior to others,and even more importantly their conviction.
This is not only a problem for Germany but also for Europe and it will become an even bigger problem in the future if something{}"
West,11526,GRï¿½ï,male,58,Klima,Klima,"    I am 58 years old and male. Ideologically, I mostly support GRï¿½ï¿½NE. I live in West Germany. And in my opinion,the most important problem facing Germany today is ","    This person is 58 years old and male. Ideologically, S/he mostly supports GRï¿½ï¿½NE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021? ","Germany is a rich country,but it doesn't know how to use its money.It gives away too much of it in the form of 'foreign aid'.The German government has decided that Germany should spend 0.7{}"
East,36865,AfD,male,45,"ungleichheit in zu vielen Bereichen,Gehalt,Rente U.s.w",ungleichheit in zu vielen Bereichen,"    I am 45 years old and male. Ideologically, I mostly support AfD. I live in East Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 45 years old and male. Ideologically, S/he mostly supports AfD.  S/he lives in East Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","the huge number of unemployed.
I think this problem should be solved as soon as possible,because it is very unfair that so many people are out of work and they have no chance to find a job in the near future{}"
West,39086,CDU/CSU,female,66,Umgang mit der Pandemie  ,Umgang mit der Pandemie  ,"    I am 66 years old and female. Ideologically, I mostly support CDU/CSU. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 66 years old and female. Ideologically, S/he mostly supports CDU/CSU.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","How to get rid of the 3rd Reich,and its aftermath.
The 2nd part is: How to deal with the fact that Germany has been occupied for almost 70 years? And how to make people realize that{}"
West,35749,GRï¿½ï,male,54,die neue Corona-Variante,die neue Corona-Variante,"    I am 54 years old and male. Ideologically, I mostly support GRï¿½ï¿½NE. I live in West Germany. And in my opinion,the most important problem facing Germany today is ","    This person is 54 years old and male. Ideologically, S/he mostly supports GRï¿½ï¿½NE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021? ","integrating the immigrants.
I don't believe that Germany has to be a country for Germans only,but I do think that it should be a nation of people who have a common language and culture.This is not rac{}"
East,19342,AfD,male,66,Corona,Corona,"    I am 66 years old and male. Ideologically, I mostly support AfD. I live in East Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 66 years old and male. Ideologically, S/he mostly supports AfD.  S/he lives in East Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","the most important problem facing Germany today is:
The answer to this question,in my opinion,is the following one.I think that the most important problem facing Germany in 2016 was the immigration crisis and it will be{}"
West,11134,SPD,male,65,Corona,Corona,"    I am 65 years old and male. Ideologically, I mostly support SPD. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 65 years old and male. Ideologically, S/he mostly supports SPD.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The lack of a strong political and economic leadership.
In the last 10 years Germany has had more than enough opportunities to become one of the major world powers,but unfortunately it didn't take advantage of them.
I think{}"
West,11421,other party,female,52,Coronapandemie bekï¿½ï¿½m,Coronapandemie bekï¿½ï¿½m,"    I am 52 years old and female. Ideologically, I mostly support other party. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 52 years old and female. Ideologically, S/he mostly supports other party.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The refugee crisis.
I know,this is a very controversial subject in Germany today but I think that it's important to discuss this matter because many people are suffering and the situation will only get worse if nothing is done about it{}"
West,33660,CDU/CSU,male,60,Corona,Corona,"    I am 60 years old and male. Ideologically, I mostly support CDU/CSU. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 60 years old and male. Ideologically, S/he mostly supports CDU/CSU.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","the fact that it is not a single country.
The German Reich was divided into two parts: West Germany and East Germany,which were separated by a cold war border (the iron curtain) between 1945-198{}"
West,143,SPD,male,66,Bekï¿½ï¿½mpfung der Pand,Bekï¿½ï¿½mpfung der Pand,"    I am 66 years old and male. Ideologically, I mostly support SPD. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 66 years old and male. Ideologically, S/he mostly supports SPD.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The inability of the political class to find a solution for overcoming this problem.
This is not only due to an obstinate lack of willingness on behalf of many politicians,but also because they are unable to identify the problem{}"
